Ranking,Region,Average Male Height 2023
1,South Dakota,510.7
2,Mississippi,510.5
2,Alabama,510.5
2,Oklahoma,510.5
2,Nebraska,510.5
2,Utah,510.5
2,Tennessee,510.5
2,Montana,510.5
2,Idaho,510.5
10,Wyoming,510.4
10,Kansas,510.4
10,Oregon,510.4
10,North Dakota,510.4
10,Arkansas,510.4
10,West Virginia,510.4
16,Missouri,510.3
16,Virginia,510.3
16,Nevada,510.3
16,Indiana,510.3
16,Minnesota,510.3
16,South Carolina,510.3
16,Iowa,510.3
16,North Carolina,510.3
16,Ohio,510.3
25,Washington,510.2
25,Alaska,510.2
25,Florida,510.2
25,Colorado,510.2
25,Michigan,510.2
25,Georgia,510.2
25,Wisconsin,510.2
32,Louisiana,510.1
33,Maine,510
33,Maryland,510
33,Vermont,510
33,Arizona,510
33,Illinois,510
38,Delaware,59.9
38,Massachusetts,59.9
38,Connecticut,59.9
41,Texas,59.8
41,New Jersey,59.8
41,New Hampshire,59.8
41,California,59.8
45,New Mexico,59.7
46,New York,59.6
47,Rhode Island,59.5
48,Hawaii,59
49,Puerto Rico,58.3
50,Guam,57.9
